iter	MultiClass
0	2.471279776
1	2.451236437
2	2.429834426
3	2.414168999
4	2.40042594
5	2.379430392
6	2.358338774
7	2.338505909
8	2.323757099
9	2.310974745
10	2.291902061
11	2.277566196
12	2.261791514
13	2.24973882
14	2.2367191
15	2.223275328
16	2.2074157
17	2.192375412
18	2.177055541
19	2.16160299
20	2.147400449
21	2.137563385
22	2.119592383
23	2.106893377
24	2.092332012
25	2.081932232
26	2.074172216
27	2.059700523
28	2.048499555
29	2.034752044
30	2.02296417
31	2.007201373
32	1.994616975
33	1.985803755
34	1.969317362
35	1.955123862
36	1.946985604
37	1.936667135
38	1.926619907
39	1.911540785
40	1.892014864
41	1.876155282
42	1.860899913
43	1.849259026
44	1.836540452
45	1.825769245
46	1.814354111
47	1.799775171
48	1.787382306
49	1.77065321
50	1.756421746
51	1.748787383
52	1.732841217
53	1.720716234
54	1.70830321
55	1.694365439
56	1.684158364
57	1.672405648
58	1.659605277
59	1.648424335
60	1.635254844
61	1.62449481
62	1.610897678
63	1.594980567
64	1.585653326
65	1.573891775
66	1.56228684
67	1.551535186
68	1.543377085
69	1.533500203
70	1.521162819
71	1.512175892
72	1.497369589
73	1.4826613
74	1.471132735
75	1.462518161
76	1.453130139
77	1.442226884
78	1.432208359
79	1.419395946
80	1.409487577
81	1.403068334
82	1.394776108
83	1.382561138
84	1.374277701
85	1.359800849
86	1.348066571
87	1.337221952
88	1.328410446
89	1.313925212
90	1.304567543
91	1.296132445
92	1.286960118
93	1.277862136
94	1.266721275
95	1.257399797
96	1.245943375
97	1.234921314
98	1.228928959
99	1.21789388
100	1.205786146
101	1.19718078
102	1.1858772
103	1.178578676
104	1.168560613
105	1.16106661
106	1.15146779
107	1.13979812
108	1.133374931
109	1.126892909
110	1.115776599
111	1.110248923
112	1.10011105
113	1.091770969
114	1.08535154
115	1.077070664
116	1.069176962
117	1.060780106
118	1.053251789
119	1.045673338
120	1.037285285
121	1.028899981
122	1.018211256
123	1.009048056
124	1.001457926
125	0.9941266463
126	0.9852533061
127	0.9774267003
128	0.970606512
129	0.9634761679
130	0.9573888931
131	0.9522808917
132	0.9442458568
133	0.9363661802
134	0.9315252388
135	0.925823326
136	0.9191254583
137	0.9118918608
138	0.9039228651
139	0.8976445425
140	0.8922984593
141	0.8848818476
142	0.8780360569
143	0.8720725017
144	0.8664344828
145	0.8583470068
146	0.8517476612
147	0.8434838012
148	0.8386101985
149	0.8338831878
150	0.8255591269
151	0.820018008
152	0.8121100174
153	0.8054751922
154	0.8009103452
155	0.7970490833
156	0.7909031661
157	0.7835609802
158	0.7768943971
159	0.7695233528
160	0.7648478827
161	0.7618835303
162	0.7543578749
163	0.7500827627
164	0.7461239041
165	0.7407810602
166	0.7367933394
167	0.7307585346
168	0.7262795374
169	0.7186802771
170	0.7134248184
171	0.7077131537
172	0.7024767657
173	0.6963290782
174	0.6897500396
175	0.6849880325
176	0.6799437847
177	0.6764339049
178	0.6712810974
179	0.6672627408
180	0.6599513418
181	0.657394698
182	0.6526865118
183	0.6471293695
184	0.6403447547
185	0.6345284982
186	0.6302193693
187	0.6247039878
188	0.6185307424
189	0.6149977009
190	0.6103445059
191	0.6068849697
192	0.6022832698
193	0.5973234184
194	0.5918128731
195	0.5868447849
196	0.583617568
197	0.5796976472
198	0.5738258665
199	0.5696794587
