iter	Passed	Remaining
0	149	29839
1	160	15886
2	168	11052
3	174	8550
4	181	7065
5	188	6083
6	194	5359
7	201	4826
8	207	4393
9	213	4051
10	219	3769
11	225	3539
12	232	3350
13	239	3176
14	245	3025
15	252	2898
16	258	2779
17	263	2668
18	269	2568
19	275	2477
20	280	2393
21	286	2321
22	292	2249
23	297	2182
24	302	2120
25	308	2063
26	313	2009
27	318	1959
28	324	1912
29	329	1867
30	334	1825
31	340	1787
32	346	1752
33	351	1716
34	356	1682
35	362	1650
36	367	1620
37	373	1591
38	378	1563
39	383	1535
40	389	1509
41	394	1485
42	400	1461
43	406	1439
44	411	1417
45	416	1395
46	422	1375
47	427	1355
48	433	1336
49	439	1317
50	444	1299
51	450	1281
52	455	1264
53	461	1247
54	466	1230
55	472	1215
56	477	1198
57	483	1183
58	488	1168
59	494	1153
60	499	1138
61	504	1123
62	510	1109
63	515	1095
64	520	1082
65	526	1068
66	531	1055
67	536	1042
68	542	1029
69	547	1016
70	552	1004
71	558	992
72	563	980
73	569	968
74	574	957
75	580	946
76	585	934
77	590	923
78	596	912
79	601	902
80	607	892
81	612	881
82	618	871
83	623	861
84	629	851
85	634	840
86	639	830
87	645	821
88	650	811
89	655	801
90	661	792
91	666	782
92	672	773
93	677	764
94	682	754
95	688	745
96	693	736
97	699	727
98	704	718
99	709	709
100	715	701
101	720	692
102	726	683
103	731	675
104	736	666
105	741	657
106	747	649
107	752	641
108	757	632
109	762	624
110	768	616
111	773	607
112	778	599
113	783	591
114	789	583
115	794	575
116	799	567
117	804	559
118	809	551
119	815	543
120	820	535
121	826	528
122	831	520
123	836	512
124	842	505
125	847	497
126	852	490
127	857	482
128	863	475
129	868	467
130	873	460
131	878	452
132	884	445
133	889	438
134	894	430
135	900	423
136	905	416
137	911	409
138	916	402
139	921	395
140	928	388
141	933	381
142	938	374
143	944	367
144	949	360
145	955	353
146	960	346
147	966	339
148	972	332
149	978	326
150	984	319
151	989	312
152	994	305
153	1000	298
154	1006	292
155	1012	285
156	1017	278
157	1023	271
158	1028	265
159	1034	258
160	1040	252
161	1046	245
162	1052	238
163	1058	232
164	1063	225
165	1069	219
166	1076	212
167	1082	206
168	1088	199
169	1094	193
170	1101	186
171	1108	180
172	1115	174
173	1121	167
174	1127	161
175	1133	154
176	1139	148
177	1144	141
178	1150	134
179	1156	128
180	1161	121
181	1167	115
182	1173	109
183	1179	102
184	1185	96
185	1190	89
186	1196	83
187	1202	76
188	1208	70
189	1214	63
190	1220	57
191	1225	51
192	1230	44
193	1236	38
194	1241	31
195	1247	25
196	1252	19
197	1258	12
198	1263	6
199	1268	0
